iter	Passed	Remaining
660	22083	11325
661	22117	11292
662	22150	11259
663	22187	11227
664	22221	11194
665	22255	11160
666	22285	11126
667	22320	11093
668	22353	11059
669	22388	11027
670	22421	10993
671	22457	10961
672	22511	10937
673	22547	10905
674	22581	10872
675	22616	10839
676	22650	10806
677	22684	10773
678	22720	10741
679	22755	10708
680	22790	10675
681	22824	10642
682	22860	10610
683	22890	10575
684	22923	10541
685	22958	10508
686	23007	10482
687	23038	10447
688	23072	10414
689	23105	10380
690	23141	10348
691	23176	10315
692	23210	10282
693	23241	10247
694	23273	10213
695	23306	10180
696	23338	10145
697	23372	10112
698	23405	10078
699	23438	10045
700	23475	10013
701	23510	9980
702	23544	9946
703	23575	9912
704	23607	9878
705	23637	9843
706	23669	9809
707	23708	9777
708	23743	9745
709	23777	9711
710	23810	9678
711	23861	9651
712	23902	9621
713	23960	9597
714	23999	9566
715	24037	9534
716	24075	9502
717	24108	9468
718	24139	9434
719	24175	9401
720	24207	9367
721	24240	9333
722	24271	9299
723	24302	9264
724	24333	9230
725	24377	9200
726	24414	9168
727	24448	9134
728	24488	9103
729	24523	9070
730	24560	9038
731	24596	9005
732	24632	8972
733	24664	8938
734	24699	8905
735	24733	8871
736	24768	8838
737	24815	8809
738	24849	8776
739	24928	8758
740	24971	8728
741	25009	8695
742	25043	8662
743	25078	8629
744	25114	8596
745	25147	8562
746	25181	8528
747	25215	8495
748	25249	8461
749	25288	8429
750	25321	8395
751	25355	8361
752	25389	8328
753	25422	8294
754	25453	8259
755	25485	8225
756	25517	8191
757	25548	8156
758	25580	8122
759	25612	8088
760	25642	8053
761	25674	8019
762	25708	7985
763	25741	7951
764	25772	7917
765	25802	7882
766	25831	7847
767	25863	7812
768	25892	7777
769	25922	7743
770	25952	7708
771	25984	7674
772	26013	7639
773	26046	7605
774	26082	7572
775	26120	7539
776	26160	7507
777	26200	7476
778	26243	7445
779	26285	7413
780	26319	7380
781	26355	7347
782	26392	7314
783	26432	7282
784	26470	7249
785	26508	7217
786	26542	7183
787	26579	7150
788	26616	7117
789	26655	7085
790	26694	7053
791	26729	7019
792	26766	6986
793	26802	6953
794	26839	6921
795	26884	6889
796	26927	6858
797	26965	6825
798	27004	6793
799	27037	6759
800	27073	6726
801	27106	6692
802	27136	6657
803	27179	6625
804	27215	6592
805	27251	6559
806	27289	6526
807	27327	6493
808	27363	6460
809	27399	6426
810	27434	6393
811	27478	6361
812	27513	6328
813	27597	6306
814	27633	6272
815	27668	6239
816	27701	6204
817	27738	6171
818	27773	6137
819	27807	6104
820	27842	6070
821	27878	6036
822	27916	6003
823	27949	5969
824	27985	5936
825	28026	5903
826	28066	5871
827	28104	5838
828	28140	5804
829	28177	5771
830	28213	5737
831	28253	5705
832	28288	5671
833	28322	5637
834	28356	5603
835	28390	5569
836	28425	5535
837	28459	5501
838	28492	5467
839	28526	5433
840	28562	5400
841	28613	5369
842	28647	5335
843	28681	5301
844	28717	5267
845	28757	5234
846	28794	5201
847	28830	5167
848	28866	5134
849	28901	5100
850	28935	5066
851	28969	5032
852	29005	4998
853	29043	4965
854	29076	4931
855	29123	4899
856	29157	4865
857	29190	4831
858	29224	4797
859	29261	4763
860	29297	4729
861	29328	4695
862	29358	4660
863	29394	4626
864	29430	4593
865	29463	4559
866	29496	4524
867	29528	4490
868	29558	4455
869	29591	4421
870	29624	4387
871	29654	4352
872	29686	4318
873	29717	4284
874	29747	4249
875	29779	4215
876	29810	4180
877	29840	4146
878	29869	4111
879	29910	4078
880	29940	4044
881	29969	4009
882	29999	3975
883	30028	3940
884	30058	3905
885	30087	3871
886	30118	3836
887	30153	3803
888	30184	3768
889	30215	3734
890	30248	3700
891	30278	3665
892	30311	3631
893	30342	3597
894	30373	3563
895	30404	3529
896	30434	3494
897	30467	3460
898	30497	3426
899	30527	3391
900	30558	3357
901	30588	3323
902	30619	3289
903	30650	3254
904	30681	3220
905	30710	3186
906	30737	3151
907	30769	3117
908	30799	3083
909	30829	3049
910	30860	3014
911	30890	2980
912	30920	2946
913	30948	2912
914	30978	2877
915	31010	2843
916	31040	2809
917	31069	2775
918	31098	2740
919	31130	2706
920	31161	2672
921	31193	2638
922	31225	2604
923	31257	2571
924	31289	2536
925	31319	2502
926	31350	2468
927	31379	2434
928	31412	2400
929	31442	2366
930	31473	2332
931	31504	2298
932	31534	2264
933	31563	2230
934	31593	2196
935	31624	2162
936	31655	2128
937	31686	2094
938	31712	2060
939	31742	2026
940	31773	1992
941	31804	1958
942	31835	1924
943	31863	1890
944	31895	1856
945	31925	1822
946	31956	1788
947	31986	1754
948	32016	1720
949	32046	1686
950	32077	1652
951	32108	1618
952	32141	1585
953	32171	1551
954	32201	1517
955	32231	1483
956	32260	1449
957	32289	1415
958	32319	1381
959	32346	1347
960	32377	1313
961	32408	1280
962	32439	1246
963	32471	1212
964	32507	1179
965	32535	1145
966	32566	1111
967	32595	1077
968	32628	1043
969	32658	1010
970	32688	976
971	32717	942
972	32747	908
973	32781	875
974	32815	841
975	32846	807
976	32878	773
977	32908	740
978	32937	706
979	32977	673
980	33014	639
981	33050	605
982	33078	572
983	33108	538
984	33140	504
985	33169	470
986	33197	437
987	33226	403
988	33252	369
989	33282	336
990	33312	302
991	33341	268
992	33372	235
993	33406	201
994	33439	168
995	33469	134
996	33501	100
997	33531	67
998	33561	33
999	33592	0
