iter	Logloss
133	0.4566610342
134	0.4564328898
135	0.4563955162
136	0.4561920066
137	0.4561781477
138	0.4559891024
139	0.455756358
140	0.4552907114
141	0.4552481871
142	0.4551332126
143	0.4546783488
144	0.4544448377
145	0.4540490092
146	0.453442038
147	0.4531784134
148	0.4531240909
149	0.4524668675
150	0.4524422255
151	0.4524422203
152	0.4523570107
153	0.4521971929
154	0.4519349515
155	0.4517522823
156	0.4514285392
157	0.4511229303
158	0.4510704528
159	0.4508927799
160	0.450705549
161	0.4504395755
162	0.4504315707
163	0.4503694743
164	0.4499396811
165	0.4497764289
166	0.4496389472
167	0.4492450933
168	0.4486874898
169	0.4483924138
170	0.4480598008
171	0.4479813932
172	0.4476597477
173	0.4469786591
174	0.4468272663
175	0.4465074904
176	0.4462798908
177	0.4459551066
178	0.445865284
179	0.4455654417
180	0.4449173675
181	0.4445970519
182	0.4443139404
183	0.4441917
184	0.4439632185
185	0.4434638911
186	0.4432224066
187	0.4430890435
188	0.4427471661
189	0.4421389619
190	0.4416091294
191	0.4415207011
192	0.4414272273
193	0.4413981344
194	0.4409823103
195	0.4406915338
196	0.4405044806
197	0.4402894758
198	0.439768196
199	0.4393432394
200	0.4393402472
201	0.4390279088
202	0.4389001395
203	0.4388644492
204	0.4386040994
205	0.4383432736
206	0.4380566744
207	0.4377165611
208	0.4374990687
209	0.4371903241
210	0.4371046722
211	0.4369620769
212	0.4363726006
213	0.4361251228
214	0.4361000384
215	0.4356563424
216	0.4353046734
217	0.4347396929
218	0.4345128478
219	0.4342130842
220	0.4335912009
221	0.4331759182
222	0.4327686418
223	0.4323921395
224	0.4321669865
225	0.4320574474
226	0.431876448
227	0.4315450832
228	0.4310064993
229	0.4303851767
230	0.4302506968
231	0.43023777
232	0.430004395
233	0.4296161287
234	0.4292479926
235	0.4287974524
236	0.4285148124
237	0.4281695125
238	0.4280633439
239	0.4277644286
240	0.4276373979
241	0.4272854017
242	0.4270053517
243	0.4267238418
244	0.4266798255
245	0.4262513904
246	0.4258965212
247	0.425720238
248	0.4257011641
249	0.4255209353
250	0.4254081406
251	0.4251930401
252	0.4248752162
253	0.4246237978
254	0.4240797973
255	0.423759134
256	0.4233812926
257	0.42325543
258	0.4228047835
259	0.4224789915
260	0.4224640026
261	0.4217267195
262	0.421566473
263	0.4212412713
264	0.4209154427
265	0.4208378561
266	0.4205354214
267	0.4205270105
268	0.4199749936
269	0.4198942184
270	0.4198823722
271	0.4195996939
272	0.4193762493
273	0.4192212061
274	0.4189695644
275	0.418668168
276	0.4186437302
277	0.4185138741
278	0.4181429958
279	0.4181314456
280	0.4181242821
281	0.417979183
282	0.4179682732
283	0.417908687
284	0.4175080289
285	0.4174961963
286	0.4173026238
287	0.4168430066
288	0.4165501474
289	0.4162346228
290	0.4159137284
291	0.415431621
292	0.4149056587
293	0.4145537971
294	0.414356302
295	0.4139156121
296	0.4135315056
297	0.4134246904
298	0.4132167317
299	0.4127359268
300	0.4126663437
301	0.4122626157
302	0.4118469883
303	0.4115704023
304	0.4115651598
305	0.4115564334
306	0.4115495934
307	0.4114268354
308	0.4112119239
309	0.4111606014
310	0.4109515719
311	0.4107708647
312	0.4106448298
313	0.4103949858
314	0.4099979447
315	0.4097616457
316	0.4097563483
317	0.409749238
318	0.4095314036
319	0.4091906373
320	0.4090915274
321	0.408543558
322	0.4080687187
323	0.4078180689
324	0.4078146555
325	0.4078072448
326	0.407589921
327	0.4071032346
328	0.4066155507
329	0.406488359
330	0.406481825
331	0.4060634607
332	0.4055694403
333	0.4052781991
334	0.405101088
335	0.4047663807
336	0.4045665404
337	0.4043579735
338	0.4042911312
339	0.4042817941
340	0.4041339459
341	0.403792311
342	0.4037307017
343	0.4034407162
344	0.4034065313
345	0.4031965707
346	0.4031801559
347	0.4026924642
348	0.4023564161
349	0.4022447129
350	0.4020785926
351	0.4019338914
352	0.401893304
353	0.4016495565
354	0.4013242242
355	0.4010973289
356	0.4009204099
357	0.4008810856
358	0.4007916843
359	0.400573066
360	0.4002173627
361	0.3999397675
362	0.3997251255
363	0.3994332778
364	0.3989914323
365	0.3989142526
366	0.398873966
367	0.3985532302
368	0.3982917969
369	0.3982873332
370	0.3981100029
371	0.3978168039
372	0.3975609839
373	0.3974117686
374	0.3974117626
375	0.397043419
376	0.3968474817
377	0.3968416715
378	0.3967208073
379	0.3962727516
380	0.3957514344
381	0.395652919
382	0.3954706311
383	0.3951582886
384	0.394738108
385	0.3945615962
386	0.3943823355
387	0.3941971359
388	0.3938863338
389	0.3936412477
390	0.3932079011
391	0.3930968488
392	0.392771727
393	0.392583284
394	0.3923941265
395	0.3922579119
396	0.3918790465
397	0.3918468725
398	0.3913856844
399	0.3912703699
400	0.390955161
401	0.3907470645
402	0.3904944234
403	0.3901846222
404	0.3899637341
405	0.3895977044
406	0.3893372183
407	0.3891077959
408	0.3890442034
409	0.3886775209
410	0.3883632915
411	0.3881784648
412	0.3880677681
413	0.3879742225
414	0.3877769309
415	0.3874151495
416	0.3873930886
417	0.387134779
418	0.3869602636
419	0.3868963718
420	0.386574234
421	0.3863921302
422	0.3862351881
423	0.386168974
424	0.3858947443
425	0.3857424316
426	0.3853493129
427	0.3851707084
428	0.385012549
429	0.3847766207
430	0.3847477202
431	0.3845005042
432	0.3844857543
433	0.3843142172
434	0.3840424229
435	0.3838391207
436	0.3837508805
437	0.3834533775
438	0.3832296855
439	0.3828460594
440	0.3828261199
441	0.3825247107
442	0.3824585297
443	0.3822447656
444	0.3822405857
445	0.3822139721
446	0.381970934
447	0.3819663904
448	0.3818023054
449	0.3814679916
450	0.3813512643
451	0.3812667666
452	0.3809774634
453	0.3808645965
454	0.3807787546
455	0.3804773289
456	0.3804583179
457	0.3803750512
458	0.3800292059
459	0.3799190087
460	0.3797821016
461	0.3795983026
462	0.3795301547
463	0.3791197039
464	0.3789049958
465	0.3785484195
466	0.3783585324
467	0.3782825613
468	0.3780021737
469	0.3777184825
470	0.3776970792
471	0.3774164521
472	0.3772652408
473	0.3771670542
474	0.3771213031
475	0.3769556247
476	0.3765524147
477	0.3762123563
478	0.3761410145
479	0.3760565991
480	0.3758864333
481	0.3757068312
482	0.375457446
483	0.3754169503
484	0.3753139381
485	0.3750773875
486	0.3747655201
487	0.3744249483
488	0.3740983507
489	0.374094004
490	0.3739877647
491	0.3736032361
492	0.3733674169
493	0.3733400066
494	0.3729867328
495	0.3727736583
496	0.3723653927
497	0.3721571673
498	0.371999551
499	0.3719382286
500	0.3718530567
501	0.3718117264
502	0.3716188094
503	0.3713746148
504	0.3709283633
505	0.370724495
506	0.3704843581
507	0.3703923737
508	0.3701318578
509	0.3699595042
510	0.36969719
511	0.3693675238
512	0.369064562
513	0.368775373
514	0.368565469
515	0.3683905341
516	0.3680975498
517	0.3680732051
518	0.3680672913
519	0.3679472848
520	0.3678741155
521	0.3677195848
522	0.3674104655
523	0.3670443297
524	0.3667148532
525	0.3664840597
526	0.3664775892
527	0.3664481245
528	0.3663107478
529	0.3661745514
530	0.3660582429
531	0.3659119066
532	0.3656919581
533	0.3655350234
534	0.3655292926
535	0.3654620913
536	0.3654375279
537	0.3652543924
538	0.3651571035
539	0.3649312379
540	0.3647283085
541	0.3646097181
542	0.3645421762
543	0.3645402709
544	0.3642795091
545	0.3641731018
546	0.3641417075
547	0.3639151651
548	0.363658166
549	0.3634669331
550	0.363321736
551	0.3629645319
552	0.3628870405
553	0.3626718527
554	0.3623913088
555	0.3622051275
556	0.3619909649
557	0.3617004732
558	0.3616078632
559	0.3615859746
560	0.3614003124
561	0.3610624817
562	0.3607907156
563	0.3605356624
564	0.360346674
565	0.3602420148
566	0.3599310764
567	0.3598645968
568	0.3597853374
569	0.3596252032
570	0.3594462713
571	0.3593317755
572	0.3592489959
573	0.3589931309
574	0.3586227873
575	0.358508496
576	0.3585077937
577	0.3582882856
578	0.3581092477
579	0.3579871233
580	0.3578784849
581	0.3575468178
582	0.3573035985
583	0.357290914
584	0.3572378957
585	0.3568412633
586	0.356816709
587	0.356688498
588	0.3566258549
589	0.3565348446
590	0.3564580018
591	0.3562571927
592	0.3560826638
593	0.3559101856
594	0.355707179
595	0.3555091232
596	0.3553644158
597	0.355083653
598	0.3550250122
599	0.3549185779
600	0.3548445992
601	0.3548384962
602	0.3546908564
603	0.3544764624
604	0.3544210337
605	0.35439964
606	0.3542146772
607	0.354166794
608	0.3539656765
609	0.3538258916
610	0.3538174791
611	0.3537191238
612	0.3536929589
613	0.3535603985
614	0.3534987619
615	0.3533379379
616	0.3532633373
617	0.3530795096
618	0.3529091183
619	0.3528708587
620	0.3525858352
621	0.3525820274
622	0.3525634244
623	0.3524598434
624	0.3523619837
625	0.352110045
626	0.352008793
627	0.3515218834
628	0.351378422
629	0.3512749078
630	0.3512652307
631	0.3511807919
632	0.3511696608
633	0.3511017869
634	0.3509023162
635	0.3506871786
636	0.3505541877
637	0.350397854
638	0.3503915113
639	0.350074157
640	0.3499361801
641	0.3497192454
642	0.3495818078
643	0.3495631946
644	0.3495057802
645	0.3494156193
646	0.3494025322
647	0.3492567705
648	0.3489173999
649	0.3488288495
650	0.3487521307
651	0.3486008494
652	0.3484653983
653	0.3482688264
654	0.3480896786
655	0.3479799613
656	0.347771531
657	0.3476806545
658	0.3474456856
659	0.3473594254
660	0.3472654638
661	0.3470348508
662	0.3467311869
663	0.3464519796
664	0.3463477123
665	0.3460414118
666	0.3459591867
667	0.3458354729
668	0.3456601385
669	0.3454454149
670	0.3453622346
671	0.3452288771
672	0.345057092
673	0.3449311848
674	0.3447294373
675	0.3444123858
676	0.3444031277
677	0.3444009854
678	0.344274882
679	0.3440904054
680	0.3438677533
681	0.3438159442
682	0.3437247061
683	0.3436668905
684	0.3435793687
685	0.3433802972
686	0.3431150886
687	0.3431040354
688	0.3428865974
689	0.3426002487
690	0.3423846249
691	0.34232251
692	0.3420099108
693	0.3418938508
694	0.341786127
695	0.3414670372
696	0.3411422247
697	0.3409782857
698	0.3407785031
699	0.3406405098
700	0.3405403783
701	0.3403580789
702	0.3402347419
703	0.3401886654
704	0.3400155431
705	0.3399432099
706	0.339737352
707	0.339452152
708	0.3392814685
709	0.3391328754
710	0.3388357909
711	0.3387446472
712	0.3385631408
713	0.338262022
714	0.338192743
715	0.3379923722
716	0.3378728177
717	0.3377316899
718	0.3377287242
719	0.3376325505
720	0.3375568975
721	0.3374696965
722	0.337295396
723	0.3370310273
724	0.3369223146
725	0.3368993552
726	0.3368081764
727	0.3366917183
728	0.3366293024
729	0.336404464
730	0.3363280005
731	0.3361638528
732	0.3360182259
733	0.3359220856
734	0.335843321
735	0.3356223897
736	0.3355243603
737	0.3354321999
738	0.3351495488
739	0.3350998882
740	0.3350403451
741	0.3350308285
742	0.3348547547
743	0.334758271
744	0.3345965639
745	0.3345634435
746	0.3341301747
747	0.3339861954
748	0.3338214385
749	0.33354862
750	0.3334325128
751	0.3332705581
752	0.333232237
753	0.3330106222
754	0.3329368873
755	0.332814962
756	0.3326435398
757	0.332445306
758	0.3321758723
759	0.332007964
760	0.3318370926
761	0.3317107273
762	0.3316614915
763	0.3315646258
764	0.3312574359
765	0.3311049922
766	0.3310272568
767	0.3308948214
768	0.3307784062
769	0.3306763122
770	0.3306069144
771	0.3304106328
772	0.3302717457
773	0.3301285736
774	0.3297930638
775	0.3297302565
776	0.3296260521
777	0.3294968119
778	0.3292810513
779	0.3289920799
780	0.3287727606
781	0.3286074291
782	0.3284810238
783	0.3284179107
784	0.3282538195
785	0.3281570065
786	0.3280982432
787	0.3280085849
788	0.327728035
789	0.3276453275
790	0.3275002785
791	0.3272164952
792	0.3270685786
793	0.3269554513
794	0.3268271129
795	0.3267613312
796	0.3266773045
797	0.3265280175
798	0.3263237107
799	0.3263128133
800	0.3261548571
801	0.3260177988
802	0.3259957603
803	0.3259066751
804	0.3257483409
805	0.3257318564
806	0.3256009684
807	0.325505059
808	0.3252805687
809	0.3251533653
810	0.3250943659
811	0.3249000954
812	0.3247931657
813	0.3246126292
814	0.3244449098
815	0.3242799396
816	0.324156798
817	0.3241224118
818	0.3238531123
819	0.3237158379
820	0.3236653048
821	0.3235527554
822	0.3234522133
823	0.3233411782
824	0.3232995578
825	0.3231951257
826	0.3230141679
827	0.3229843323
828	0.3229622372
829	0.3228970551
830	0.3228569094
831	0.3227920168
832	0.3227108226
833	0.3226620335
834	0.3225673073
835	0.3224592347
836	0.3223721974
837	0.3222811918
838	0.3219795213
839	0.3218814414
840	0.3218457593
841	0.3216365823
842	0.3215109818
843	0.3214119138
844	0.3212921925
845	0.3211356274
846	0.3209486472
847	0.320825485
848	0.3206685907
849	0.3205581789
850	0.3203429605
851	0.3199567728
852	0.3198810846
853	0.3196829776
854	0.3195403569
855	0.3194875913
856	0.3194800564
857	0.3193743972
858	0.3191752837
859	0.3189125242
860	0.3187965154
861	0.3187474376
862	0.3186966044
863	0.3186323667
864	0.3185593272
865	0.3185054943
866	0.3182776718
867	0.3182218885
868	0.3181898017
869	0.3181307338
870	0.318073372
871	0.317926732
872	0.3178939994
873	0.3178354028
874	0.3177838097
875	0.3177406937
876	0.3177078317
877	0.3176093909
878	0.3175605819
879	0.3174005993
880	0.3172687214
881	0.3172577863
882	0.3170855547
883	0.3170327941
884	0.3168042841
885	0.3167090904
886	0.3166691362
887	0.3166273247
888	0.3164989334
889	0.3164398055
890	0.3163179378
891	0.3160415951
892	0.3159096845
893	0.3157284802
894	0.3156871903
895	0.3155466657
896	0.3154058147
897	0.315367421
898	0.3151274411
899	0.3150890897
900	0.3149677977
901	0.3148522058
902	0.314674718
903	0.3146173856
904	0.3146045349
905	0.3145280564
906	0.3144501781
907	0.3144226011
908	0.3142780318
909	0.3142476957
910	0.3141259235
911	0.3139682531
912	0.3137391597
913	0.3135557359
914	0.3133288646
915	0.3131019051
916	0.3130765291
917	0.3128796439
918	0.3127557189
919	0.312581278
920	0.3124553657
921	0.3123605166
922	0.3123084878
923	0.3122644186
924	0.3119989569
925	0.3117482494
926	0.3116001244
927	0.3113985717
928	0.3112957306
929	0.3110975339
930	0.3109523604
931	0.3109038213
932	0.3108151558
933	0.3108008664
934	0.3107884432
935	0.3107577197
936	0.3105914575
937	0.3103864608
938	0.3103749643
939	0.3102700816
940	0.3102344596
941	0.3102049764
942	0.310138813
943	0.309888088
944	0.3096946028
945	0.3096372934
946	0.3096226528
947	0.3095465429
948	0.3093669408
949	0.3092078468
950	0.3090474131
951	0.3089333452
952	0.3088116851
953	0.3087828544
954	0.3086623813
955	0.3083957929
956	0.308356002
957	0.3082846372
958	0.3081218561
959	0.3080769674
960	0.3080700933
961	0.3079770178
962	0.307945864
963	0.307873786
964	0.3077331063
965	0.3076593004
966	0.3074869764
967	0.3074408046
968	0.307303667
969	0.307140286
970	0.3070783583
971	0.3069614142
972	0.3069211551
973	0.3068628414
974	0.3068095467
975	0.306723622
976	0.3066464624
977	0.3065282251
978	0.3064483398
979	0.3063270404
980	0.3061529493
981	0.3060111702
982	0.305903237
983	0.3057405139
984	0.3056880183
985	0.305606151
986	0.3054980416
987	0.3054777427
988	0.3054674129
989	0.3052914551
990	0.3051374491
991	0.3050479271
992	0.304814046
993	0.3047784296
994	0.3047431705
995	0.3047099666
996	0.3046085514
997	0.3045146628
998	0.3045112307
999	0.3042269028
